word,size
The Beatles,145.0
Elvis Presley,116.0
Michael Jackson,139.0
Elton John,104.0
Queen,92.0
Madonna,91.0
Led Zeppelin,71.0
Rihanna,168.0
Pink Floyd,62.0
Eminem,163.0
Mariah Carey,103.0
Taylor Swift,125.0
Beyoncé,113.0
Whitney Houston,78.0
Eagles,76.0
Celine Dion,72.0
AC/DC,65.0
The Rolling Stones,51.0
Drake,207.0
Garth Brooks,83.0
Kanye West,129.0
Billy Joel,67.0
Justin Bieber,139.0
Justin Bieber,139.0
Ed Sheeran,123.0
Bruno Mars,102.0
Bruce Springsteen,64.0
U2,57.0
Aerosmith,52.0
Phil Collins,50.0
Barbra Streisand,49.0
ABBA,34.0
Frank Sinatra,20.0
Katy Perry,86.0
Chris Brown,100.0
Jay-Z,68.0
Metallica,53.0
Lady Gaga,80.0
Lil Wayne,94.0
Maroon 5,71.0
Adele,68.0
Red Hot Chili Peppers,50.0
Fleetwood Mac,47.0
Fleetwood Mac,47.0
Bon Jovi,44.0
Rod Stewart,42.0
Bee Gees,37.0
Bee Gees,37.0
Nicki Minaj,78.0
Coldplay,55.0
Linkin Park,51.0
George Strait,50.0
Pink,45.0
Britney Spears,44.0
B'z,43.0
Shania Twain,42.0
Guns N' Roses,40.0
Backstreet Boys,39.0
Eric Clapton,36.0
Neil Diamond,36.0
Prince,33.0
Journey,33.0
Paul McCartney,33.0
Janet Jackson,33.0
Kenny Rogers,32.0
Santana,31.0
Simon & Garfunkel,31.0
George Michael,26.0
Julio Iglesias,26.0
Dire Straits,26.0
The Doors,25.0
Foreigner,25.0
Foreigner,25.0
Chicago,24.0
Bob Dylan,24.0
The Carpenters,23.0
Meat Loaf,23.0
"Earth, Wind & Fire",22.0
Cher,22.0
Def Leppard,21.0
Genesis,20.0
David Bowie,21.0
Stevie Wonder,19.0
James Taylor,18.0
Tina Turner,18.0
Olivia Newton-John,18.0
Linda Ronstadt,17.0
The Beach Boys,16.0
Donna Summer,16.0
Alicia Keys,43.0
Christina Aguilera,38.0
Lionel Richie,22.0
Johnny Cash,16.0
Justin Timberlake,42.0
Ariana Grande,72.0
R.E.M.,23.0
Post Malone,104.0
Flo Rida,42.0
Usher,38.0
Shakira,38.0
Tim McGraw,36.0
The Black Eyed Peas,35.0
Van Halen,33.0
Ayumi Hamasaki,32.0
Tom Petty,18.0
Johnny Hallyday,14.0
The Weeknd,107.0
Imagine Dragons,62.0
Luke Bryan,42.0
Tupac Shakur,30.0
Alabama,29.0
R. Kelly,28.0
Nirvana,28.0
Robbie Williams,28.0
Bob Seger,28.0
Kenny G,27.0
Green Day,26.0
Enya,26.0
Bryan Adams,25.0
Bob Marley,23.0
The Police,21.0
Gloria Estefan,19.0
Barry Manilow,18.0
Kiss,14.0
Aretha Franklin,13.0
