year,male,female
1935,1,0
1936,1,0
1937,1,0
1938,1,0
1939,1,0
1940,1,0
1941,1,0
1942,1,0
1943,1,0
1944,1,0
1945,1,0
1946,1,0
1947,1,0
1948,1,0
1949,1,0
1950,1,0
1951,1,0
1952,1,0
1953,1,0
1954,3,0
1955,3,0
1956,4,1
1957,5,1
1958,6,2
1959,7,2
1960,9,3
1961,12,3
1962,16,3
1963,18,3
1964,22,4
1965,24,4
1966,26,5
1967,30,6
1968,35,7
1969,36,8
1970,37,8
1971,38,8
1972,41,9
1973,44,9
1974,43,9
1975,43,10
1976,48,10
1977,51,11
1978,51,11
1979,52,12
1980,54,12
1981,56,13
1982,56,15
1983,58,15
1984,58,14
1985,59,14
1986,59,14
1987,60,14
1988,61,16
1989,63,16
1990,65,16
1991,67,16
1992,68,16
1993,69,18
1994,70,18
1995,70,19
1996,74,20
1997,73,21
1998,73,23
1999,73,23
2000,72,23
2001,74,24
2002,74,24
2003,74,24
2004,73,24
2005,73,26
2006,73,28
2007,74,28
2008,77,30
2009,77,30
2010,77,29
2011,77,29
2012,76,28
2013,77,26
2014,77,26
2015,76,26
2016,76,26
2017,73,26
2018,71,26
2019,71,25
2020,70,25
2021,68,25
2022,68,25
